Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 4:21:30 PM, images/TriggerDisabled.png, 357, 225, 37
1/20/2015 4:21:30 PM, images/TriggerActionListInactive.png, 302, 197, 34.8
1/20/2015 4:21:31 PM, images/TriggerActionListActive.png, 350, 228, 34.9
1/20/2015 4:21:31 PM, images/Trigger.png, 325, 195, 40
1/20/2015 4:21:31 PM, images/Triangle.png, 278, 190, 31.7
1/20/2015 4:21:32 PM, images/TreeView.png, 205, 141, 31.2
1/20/2015 4:21:32 PM, images/TreeMap.png, 200, 126, 37
1/20/2015 4:21:32 PM, images/TreeList.png, 225, 155, 31.1
1/20/2015 4:21:33 PM, images/TransparentBackground.png, 241, 152, 36.9
1/20/2015 4:21:33 PM, images/TranslationView.png, 536, 312, 41.8
1/20/2015 4:21:33 PM, images/Translate.png, 533, 358, 32.8
1/20/2015 4:21:34 PM, images/TransitioningContent.png, 546, 311, 43
1/20/2015 4:21:34 PM, images/TransformRelative.png, 280, 167, 40.4
1/20/2015 4:21:34 PM, images/TransformPositionCursor.png, 186, 136, 26.9
1/20/2015 4:21:35 PM, images/TransformListItem.png, 325, 219, 32.6
1/20/2015 4:21:35 PM, images/Transform.png, 307, 193, 37.1
1/20/2015 4:21:35 PM, images/TransferStoredProcedure.png, 383, 236, 38.4
1/20/2015 4:21:36 PM, images/TransferLogin.png, 424, 258, 39.2
1/20/2015 4:21:36 PM, images/TransferJob.png, 381, 235, 38.3
1/20/2015 4:21:36 PM, images/TransferErrorMessage.png, 517, 271, 47.6
1/20/2015 4:21:37 PM, images/TransferDatabaseObject.png, 425, 254, 40.2
1/20/2015 4:21:37 PM, images/TransactionScope.png, 203, 121, 40.4
1/20/2015 4:21:37 PM, images/TransactionNode.png, 281, 188, 33.1
1/20/2015 4:21:38 PM, images/TransactionalComponent.png, 428, 252, 41.1
1/20/2015 4:21:38 PM, images/TransactedReceiveScope.png, 282, 155, 45
1/20/2015 4:21:38 PM, images/TraceTransferOut.png, 465, 256, 44.9
1/20/2015 4:21:39 PM, images/TraceTransferInto.png, 439, 234, 46.7
1/20/2015 4:21:39 PM, images/TracepointWarning.png, 368, 258, 29.9
1/20/2015 4:21:40 PM, images/TracepointError.png, 356, 256, 28.1
1/20/2015 4:21:40 PM, images/TracepointEnabled.png, 263, 164, 37.6
1/20/2015 4:21:40 PM, images/TracepointDisabled.png, 225, 178, 20.9
1/20/2015 4:21:40 PM, images/TouchableDevice.png, 440, 262, 40.5
1/20/2015 4:21:41 PM, images/TopRowOfTwoRowsBottomSplit.png, 178, 140, 21.3
1/20/2015 4:21:41 PM, images/TopRightTwoColumnsRightSplit.png, 183, 140, 23.5
1/20/2015 4:21:41 PM, images/TopRightOfTwoRowsTwoColumns.png, 195, 141, 27.7
1/20/2015 4:21:42 PM, images/TopRightOfTwoRowsTopSplit.png, 183, 140, 23.5
1/20/2015 4:21:42 PM, images/TopLeftOfTwoRowsTwoColumns.png, 191, 143, 25.1
1/20/2015 4:21:42 PM, images/TopLeftOfTwoRowsTopSplit.png, 180, 142, 21.1
1/20/2015 4:21:43 PM, images/TopLeftOfTwoColumnsLeftSplit.png, 181, 141, 22.1
1/20/2015 4:21:43 PM, images/TopicSource.png, 323, 212, 34.4
1/20/2015 4:21:43 PM, images/TopicDestination.png, 308, 194, 37
1/20/2015 4:21:43 PM, images/TopBorder.png, 209, 150, 28.2
1/20/2015 4:21:44 PM, images/ToolWindow.png, 196, 135, 31.1
1/20/2015 4:21:44 PM, images/ToolTip.png, 458, 324, 29.3
1/20/2015 4:21:44 PM, images/ToolstripPanelTop.png, 186, 122, 34.4
1/20/2015 4:21:45 PM, images/ToolstripPanelRight.png, 180, 118, 34.4
1/20/2015 4:21:45 PM, images/ToolstripPanelLeft.png, 180, 119, 33.9
1/20/2015 4:21:45 PM, images/ToolstripPanelBottom.png, 176, 122, 30.7
1/20/2015 4:21:46 PM, images/ToolstripContainer.png, 217, 149, 31.3
1/20/2015 4:21:46 PM, images/ToolstripAlignment.png, 213, 137, 35.7
1/20/2015 4:21:46 PM, images/ToolBox.png, 221, 141, 36.2
1/20/2015 4:21:47 PM, images/ToolBarTray.png, 361, 241, 33.2
1/20/2015 4:21:47 PM, images/ToolBarPanel.png, 368, 249, 32.3
